start_station_name,lat,lng
Ave D & E 12 St,40.72580614,-73.97422494
Clinton St & Cherry St,40.711471394469264,-73.98672603070736
Stanton St & Norfolk St,40.720747,-73.986274
Eastern Pkwy & Franklin Ave (NE Corner),40.6707767,-73.9576801
E 138 St & Park Ave,40.81263616769319,-73.92924964427948
Sterling St & Nostrand Ave,40.66318,-73.95076
Franklin St & Dupont St,40.73564,-73.95866
6 St & 7 Ave,40.6686627,-73.97988067
17 St & 5 Ave,40.663493,-73.991007
55 Dr & Maurice Ave,40.7261,-73.90917
Fulton St & Saratoga Ave,40.67853,-73.91642
W 50 St & 9 Ave,40.763604677958625,-73.98917958140373
Goulden Ave & Bedford Park Blvd,40.87387,-73.89533
Dyckman St & Staff St,40.868846,-73.931537
St Marks Ave & Thomas S. Boyland St,40.67313,-73.91387
Morris Ave & E 171 St,40.83899,-73.9109
Carroll St & Utica Ave,40.66619,-73.93162
39 St & Queens Blvd,40.74431,-73.92601
34th Ave & Vernon Blvd,40.76535380385866,-73.93986314535141
Montrose Ave & Bushwick Ave,40.70767788,-73.94016171
W 163 St & Riverside Dr,40.839278,-73.945446
W Broadway & Watts St,40.72323,-74.00314
Flushing Ave & Woodward Ave,40.71246,-73.91873
E 3 St & 1 Ave,40.72467721,-73.98783413
Maple St & Flatbush Ave,40.66026,-73.96045
65 St & 2 Ave,40.640493,-74.02564
63 St & 59 Dr,40.71832,-73.90128
South St & Broad St,40.70188858913366,-74.01089876890182
E 88 St & Park Ave,40.781410700190015,-73.95595908164978
Arthur Ave & E 183 St,40.85307,-73.88953
2 Ave & 43 St,40.65292829363811,-74.01286482810974
Carroll St & 6 Ave,40.6740886,-73.9787282
3 Ave & E 109 St,40.79338,-73.94329
56 Dr & 59 St,40.72403,-73.90853
W 15 St & 6 Ave,40.738046142482766,-73.99642959237099
Melrose Ave & E 150 St,40.816827,-73.917338
Bergen St & Buffalo Ave,40.6747,-73.92512
Morningside Dr & Amsterdam Ave,40.81028506306003,-73.95736455917358
Banker St & Meserole Ave,40.72606,-73.95621
E 59 St & Madison Ave,40.76350532,-73.97109243
Sheridan Ave & E 168 St,40.835334,-73.9154
Clay Ave & Claremont Pkwy,40.83999,-73.90549
E Tremont Ave & E 176 St,40.847798,-73.901883
3 Ave & E Tremont Ave,40.84649,-73.89616
Pacific St & Sackman St,40.67522,-73.9061
3 St & Prospect Park West,40.668132,-73.97363831
31 St & Thomson Ave,40.74469738,-73.93540375
Chester Ave & 12 Ave,40.644367,-73.984276
N Henry St & Norman Ave,40.7277,-73.94395
Naples Terrace & Godwin Terrace,40.87995,-73.90536
W 25 St & 8 Ave,40.74649996333341,-73.99732626293645
Walton Ave & E 168 St,40.83649,-73.918316
Richardson St & N Henry St,40.71907891179564,-73.94223690032959
Broadway & Ellwood St,40.862058,-73.929719
Lenox Ave & W 146 St,40.821111,-73.935971
E 6 St & Ave B,40.72453734,-73.98185424
W 107 St & Columbus Ave,40.7997568,-73.9621128676
E 68 St & 3 Ave,40.76712840349542,-73.96224617958069
44 St & 3 Ave,40.651173,-74.011405
10 St & 7 Ave,40.6662078,-73.98199886
Parkside Ave & Flatbush Ave,40.65563,-73.95968
St Nicholas Ave & Manhattan Ave,40.809725,-73.953149
Mount Eden Pkwy & Eastburn Ave,40.842675,-73.908544
E 7 St & Ave B,40.7251285241158,-73.98131668567657
E 17 St & Beverley Rd,40.64466,-73.96322
14 St & 7 Ave,40.663779,-73.98396846
Grand Concourse & E 199 St,40.87142,-73.88839
63 St & Borden Ave,40.72655,-73.90321
Pacific St & Classon Ave,40.6791944,-73.9587903
Isham St & Broadway,40.86788,-73.919685
Columbia Heights & Cranberry St,40.70037867,-73.99548059
Kingston Ave & E New York Ave,40.66219,-73.94293
Kent Ave & Division Ave,40.706563674670925,-73.9683187007904
Broadway & E 19 St,40.73866091428551,-73.98987293243407
Rivington St & Chrystie St,40.72110063,-73.9919254
Fulton St & Williams Ave,40.67709,-73.9008
E 201 St & Briggs Ave,40.87207,-73.88459
Berry St & N 8 St,40.7190095,-73.95852515
W 59 St & 10 Ave,40.770513,-73.988038
Longfellow Ave & Aldus St,40.82319448542357,-73.88762910982096
Bailey Ave & W 229 St,40.87449,-73.90467
Seneca Ave & Irvine St,40.81872569990116,-73.88862490653992
Prospect Pl & Nostrand Ave,40.67428,-73.9503
E 189 St & Bathgate Ave,40.85859,-73.88821
49 Ave & Jackson Ave,40.743038,-73.952059
E 128 St & Madison Ave,40.80756,-73.939182
Riverside Dr & W 82 St,40.78720869,-73.98128127
Duane St & Hudson St,40.71703,-74.00925
Broadway & Morris St,40.705945132708806,-74.01321887969969
Myrtle Ave & 65 St,40.70117,-73.8904
Devoe St & Morgan Ave,40.713811,-73.93515
Nagle Ave & Ellwood St,40.86012,-73.928489
Martense Ave & 108 St,40.74214,-73.85418
Ocean Ave & Crooke Ave,40.65326,-73.96172
E 98 St & Park Ave,40.78813,-73.95206
Grand Concourse & E 161 St,40.82713380423556,-73.9227358996868
Franklin Ave & Myrtle Ave,40.694546087246025,-73.95801365375519
Boston Rd & Prospect Ave,40.833246,-73.896599
1 Ave & E 110 St,40.7923272,-73.9383
Union St & 4 Ave,40.6772744,-73.98282002
St James Pl & Pearl St,40.71117416,-74.00016545
President St & Nostrand Ave,40.66811,-73.9505
Bushwick Ave & Stagg St,40.709897,-73.94008
St Ann's Ave & Bruckner Blvd,40.803399,-73.919763
Lewis Ave & Decatur St,40.6814598,-73.934903
Bulova Ave & Brooklyn Queens Expressway W,40.762507,-73.902534
52 St & 6 Ave,40.642703,-74.009441
26 Ave & 2 St,40.77684387,-73.93463418
E 53 St & 3 Ave,40.75763227739443,-73.96930575370789
E 106 St & Madison Ave,40.7934337,-73.94945003
3 Ave & E 169 St,40.832678,-73.905158
N 7 St & Driggs Ave,40.716967,-73.956388
37 Ave & 35 St,40.7531106,-73.9279917
W 67 St & Broadway,40.77492513,-73.98266566
Marble Hill Ave & W 225 St,40.87471,-73.91099
Grand St & Elizabeth St,40.718822,-73.99596
Westchester Ave & E 156 St,40.817802,-73.905203
Madison St & Seneca Ave,40.70183,-73.90625
Edgecombe Ave & W 145 St,40.823498,-73.94386
Clinton Ave & Myrtle Ave,40.693261,-73.968896
E 184 St & 3 Ave,40.85472,-73.89022
61 St & Borden Ave,40.72558,-73.90417
Green St & McGuinness Blvd,40.73396,-73.95204
W 25 St & 6 Ave,40.74395411,-73.99144871
E 31 St & 3 Ave,40.74394314,-73.97966069
Wards Meadow Comfort Station,40.78294,-73.93077
Eastern Pkwy & Brooklyn Ave,40.66939,-73.94514
Adam Clayton Powell Blvd & W 126 St,40.809495347779475,-73.94776493310928
Vesey St & Church St,40.71221958009051,-74.01047229766846
E 18 St & Church Ave,40.64958,-73.96316
Grand Ave & Bergen St,40.678045,-73.962408
Amsterdam Ave & W 156 St,40.832081,-73.942386
W 100 St & Broadway,40.7973721,-73.97041192
Willoughby Ave & Myrtle Ave,40.69757,-73.93098
Fulton St & Clermont Ave,40.68415748,-73.96922273
New York Ave & Snyder Ave,40.64868,-73.94635
Central Park West & W 72 St,40.77579376683666,-73.9762057363987
Halsey St & Evergreen Ave,40.68858,-73.91227
Broadway & W 157 St,40.83402740143528,-73.94510813442648
E 20 St & Park Ave,40.73827428,-73.98751968
Shakespeare Ave & W 169 St,40.839312,-73.922423
Warren St & W Broadway,40.71473993,-74.00910627
Thomas S. Boyland St & Macon St,40.68491,-73.91493
W 21 St & 6 Ave,40.74173969,-73.99415556
Lexington Ave & E 24 St,40.74025878,-73.98409214
Hicks St & Montague St,40.69512845,-73.99595065
Brooklyn Ave & Beverley Rd,40.64575,-73.94331
64 St & 53 Dr,40.72897,-73.90115
37 Ave & 113 St,40.75475,-73.8549
Steinway St & 19 Ave,40.778089,-73.899558
Hoyt St & Warren St,40.6843549,-73.98901629
Central Ave & Flushing Ave,40.702831,-73.9333
8 Ave & W 49 St,40.76171227910671,-73.98655101656914
Convent Ave & W 135 St,40.818215,-73.950988
Jerome Ave & W Fordham Rd,40.86294,-73.90108
Crescent St & 35 Ave,40.7596276,-73.9321455
21 St & 23 Ave,40.778557,-73.919046
Southern Blvd & Tiffany St,40.818185,-73.894143
