City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,margaret river,-33.95,115.0667,15.69,67,10,2.97,AU,1696551216
121,nambucca,-30.6333,152.9833,20.92,42,0,2.42,AU,1696551216
122,aripuana,-9.1667,-60.6333,31.01,34,53,0.95,BR,1696551083
123,port alfred,-33.5906,26.891,16.77,98,100,2.68,ZA,1696551217
124,horta,38.5333,-28.6333,21.12,96,100,14.31,PT,1696551218
125,jamestown,42.097,-79.2353,22.23,54,0,4.63,US,1696551117
126,karasu,41.071,30.7854,16.41,79,100,1.03,TR,1696551219
127,letlhakeng,-24.0944,25.0298,19.51,20,54,3.44,BW,1696551219
128,gaspe,48.8334,-64.4819,14.95,100,75,0.0,CA,1696551220
129,quelimane,-17.8786,36.8883,22.3,95,0,1.84,MZ,1696551018
130,carnarvon,-24.8667,113.6333,21.62,67,6,6.1,AU,1696551152
131,haiku-pauwela,20.9219,-156.3051,30.01,48,40,8.75,US,1696551222
132,puerto san jose,13.9256,-90.8244,27.89,83,40,3.34,GT,1696551133
133,san antonio de pale,-1.4014,5.6325,25.34,85,100,6.5,GQ,1696551223
134,invercargill,-46.4,168.35,20.01,52,99,9.83,NZ,1696551005
135,ernee,48.2976,-0.9314,8.75,66,96,1.26,FR,1696551224
136,comayagua,14.45,-87.6333,23.85,90,25,1.51,HN,1696551224
137,lintong,34.378,109.2089,11.38,93,100,0.9,CN,1696551225
138,kenora,49.8167,-94.4337,8.54,93,100,3.09,CA,1696551225
139,uglekamensk,43.2172,133.2303,8.88,55,6,5.41,RU,1696551226
140,zhanaozen,43.3,52.8,12.08,81,1,2.7,KZ,1696551064
141,hermanus,-34.4187,19.2345,15.42,87,100,7.32,ZA,1696550983
142,rio preto da eva,-2.6994,-59.6997,27.56,63,97,1.15,BR,1696551214
143,colonia,50.9333,6.95,12.94,86,0,1.03,DE,1696551228
144,touros,-5.1989,-35.4608,25.45,81,66,6.25,BR,1696551228
145,vila franca do campo,37.7167,-25.4333,23.23,93,100,7.86,PT,1696551228
146,keflavik,64.0049,-22.5624,4.24,87,100,2.06,IS,1696551229
147,shipston on stour,52.0606,-1.6278,15.45,88,95,6.18,GB,1696551229
148,noumea,-22.2763,166.4572,26.67,97,51,5.09,NC,1696550724
149,puerto ayora,-0.7393,-90.3518,23.64,92,75,1.79,EC,1696551230
150,port lincoln,-34.7333,135.8667,13.98,65,98,4.65,AU,1696551231
151,taroa,8.7058,171.2275,28.39,77,92,6.1,MH,1696551231
152,bankim,6.083,11.4905,19.87,98,76,0.3,CM,1696551232
153,chibougamau,49.9168,-74.3659,16.79,88,75,2.57,CA,1696551232
154,tazovsky,67.4667,78.7,7.28,88,100,7.76,RU,1696551232
155,broken hill,-31.95,141.4333,15.48,63,9,5.98,AU,1696551065
156,kapa'a,22.0752,-159.319,30.99,84,100,3.09,US,1696551071
157,kununurra,-15.7667,128.7333,30.99,27,91,5.66,AU,1696550712
158,phek,25.6667,94.5,15.02,99,99,0.4,IN,1696551234
159,nadym,65.5333,72.5167,6.09,76,80,12.1,RU,1696551234
160,luderitz,-26.6481,15.1594,14.43,87,3,4.74,NA,1696551235
161,tura,25.5198,90.2201,21.97,99,100,1.14,IN,1696551235
162,coruripe,-10.1256,-36.1756,24.61,86,6,6.18,BR,1696551171
163,tabira,-7.5908,-37.5394,24.4,55,1,6.99,BR,1696551089
164,usogorsk,63.4106,48.6872,5.93,95,91,2.98,RU,1696551237
165,yerofey pavlovich,53.9667,121.9667,4.45,61,55,0.69,RU,1696551238
166,los palacios,22.5872,-83.2486,25.49,87,78,2.24,CU,1696551206
167,shingu,33.7333,135.9833,19.46,48,98,2.3,JP,1696551166
168,tolanaro,-25.0319,46.9987,19.02,88,0,5.48,MG,1696551239
169,mount pearl,47.5166,-52.7813,7.3,90,100,1.54,CA,1696551239
170,arraial do cabo,-22.9661,-42.0278,22.63,95,74,6.38,BR,1696551240
171,talakan,50.3167,130.3667,7.15,74,47,4.84,RU,1696551240
172,gamba,-2.65,10.0,24.79,88,96,2.79,GA,1696551241
173,sultanah,24.4926,39.5857,29.25,9,0,2.57,SA,1696551241
174,college,64.8569,-147.8028,4.56,58,75,3.6,US,1696551242
175,revda,56.801,59.9303,7.75,88,100,1.74,RU,1696551242
176,rio grande,-32.035,-52.0986,14.97,64,1,3.97,BR,1696551075
177,klyuchi,52.2667,79.1667,8.55,67,20,1.37,RU,1696551243
178,longyearbyen,78.2186,15.6401,-3.09,68,40,4.12,SJ,1696551244
179,coquimbo,-29.9533,-71.3436,13.85,76,75,4.12,CL,1696551245
180,bijapur,16.8333,75.7,23.21,72,67,4.47,IN,1696551173
181,nishinoomote,30.7333,131.0,22.31,73,20,3.6,JP,1696551159
182,qaqortoq,60.7167,-46.0333,2.58,65,18,1.92,GL,1696551246
